D (mm),t (mm),L (mm),fy (MPa),fu (MPa),Ea (Gpa),fc (MPa),Ec (Gpa),N Test (kN)
121,4,1050,311.15,,200,22.2,,702.7
121,4,1050,317.03,,200,26.5,,851.6
121,6,1050,349.37,,200,22.2,,1007.4
121,6,1050,325.85,,200,26.5,,1088.8
216,6,2220,391.02,,200,24.1,,2440.2
216,6,2220,379.26,,200,31.4,,2865.5
216,4,2220,289.39,,200,24.1,,1868.9
216,4,2220,287.14,,200,31.4,,2261.8
153,3.2,1679,413.56,,200,21.8,,901.6
101,3.4,1530,602.7,,200,32.2,,802.6
121,4.8,1048,449.82,,200,33.9,,1146.6
121,4.8,1048,449.82,,200,29.1,,1078
121,4.8,1048,449.82,,200,25.6,,940.8
318.5,6.9,4200,301.84,,200,47,,5494.9
500,11,5000,253.2,,200,47,,12838
500,11,5000,235.2,,200,43.7,,11838.4
210,2.5,1670,235.2,,200,27.7,,1323
108,4,756,337.61,,200,36.3,,785
108,4,972,337.61,,200,34.5,,737
108,4,1404,332.02,,200,34.1,,686
108,4,1620,351.23,,200,34.1,,637
140,5,840,378.28,,200,23.1,,1283.8
140,5,840,378.28,,200,31.6,,1391.6
140,5,840,378.28,,200,45.1,,1685.6
140,5,840,178.28,,200,51,,1705.2
100,2.5,600,244.02,,200,43.4,,686
100,2,900,236.18,,200,43.4,,587
100,2,600,236.18,,200,36.7,,558.6
100,2,600,236.18,,200,36.7,,512.5
100,4.5,1080,259.7,,200,28.1,,743.8
106,3.5,1080,259.7,,200,28.1,,559.6
104,2.5,1080,259.7,,200,28.1,,433.2
108,4,1188,327.12,,200,35,,686
169,7.5,690,360,,200,70.8,,3080
169,7.5,690,360,,200,70.8,,4190
169,7.5,1768,360,,200,70.8,,2870
76,2,1555,275,,205,41.6,,355
76,2,1556,275,,205,41.6,,330
219,6,1000,325,,196,58,,2989
219,4,1000,325,,196,47.6,,1931
219,4,1000,325,,196,52.3,,1980
219,7,990,273,,200,38.2,,3278
219,7,990,273,,200,38.2,,3278
219,7,990,273,,200,38.2,,3278
219,7,1200,273,,200,38.2,,3200
